"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)",VALUE ,"CREDIT RATING 
","MATURITY DATE 
",Risk
NHAI,N6,Regular,8.75,"1,000.00","1,242.00",-0.01,31977,"39,634,532.19",CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ,5-Feb-29,LOW
NHAI,N2,Regular,8.3,"1,000.00","1,136.00",0.04,15977,"18,134,054.77",CRISIL AAA STABLE / CARE AAA / IND AAA STABLE ,25-Jan-27,LOW
HUDCO,N2,Regular,8.2,"1,000.00","1,180.51",0.12,3193,"3,763,365.59",CARE AA+ / IND AA+,5-Mar-27,LOW
RECLTD,N9,Regular,8.71,"1,000.00","1,167.50",-0.21,2660,"3,105,443.60",CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA,24-Sep-28,LOW
PFC,N8,,-,-,"1,304.95",0.72,2343,"3,037,769.79",,-,MODERATE
NHBTF2014,N6,Regular,9.01,"5,000.00","6,538.00",-0.27,380,"2,489,566.20",CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE,13-Jan-34,LOW
IIHFL,N5,Regular,9.6,"1,000.00",999,0.29,2284,"2,280,870.92",CRISIL AA Stable / BWR AA+  Negative,3-Nov-28,LOW
IRFC,NI,Regular,7.32,"1,000.00","1,069.99",1.42,1842,"1,936,605.12",CRISIL AAA STABLE / CARE AAA / ICRA AAA,21-Dec-25,HIGH
IIFL,NF,Regular,9.6,"1,000.00","1,001.00",0.3,1921,"1,919,021.37",CRISIL AA Negative / BWR AA+ Negative,24-Jun-28,LOW
TATACAPHSG,N8,Regular,8.1,"1,000.00","1,054.99",-0.85,1284,"1,347,070.08",CRISIL AAA STABLE / ICRA AAA STABLE,14-Jan-28,HIGH
DHANILOANS,N8,Regular,-,"1,000.00","1,453.00",0.21,830,"1,198,984.80",CARE AA STABLE / BWR AA+ STABLE,8-Mar-24,LOW
IFCI,NH,Regular,9.9,"1,000.00","1,020.00",-0.2,1165,"1,188,696.10",ICRA A STABLE / BWR AA- STABLE,1-Dec-24,LOW
IIHFL,N4,Regular,10,"1,000.00","1,008.40",0.153,746,"751,565.16",CRISIL AA Stable / BWR AA+  Negative,3-Nov-28,LOW
NHAI,NE,Regular,7.69,"1,000.00","1,166.00",-0.34,586,"682,877.52",CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA,9-Mar-31,LOW
NHIT,N3,Regular,7.9,400,420,0.72,1580,"661,087.80",CARE AAA Stable / IND AAA/Stable,14-Nov-47,MODERATE
L&TFINANCE,Y7,Regular,8.29,"1,000.00","1,012.50",-0.44,647,"656,025.65",CRISIL AAA STABLE / CARE AAA STABLE / IND AAA STABLE ,23-Dec-24,LOW
ECLFINANCE,NO,Regular,9.95,"1,000.00",999,0.4,620,"618,964.60",CRISIL AA STABLE / ICRA AA,4-Jan-24,LOW
NHIT,N2,Regular,7.9,300,311.25,-0.11,1940,"604,174.20",CARE AAA Stable / IND AAA/Stable,14-Nov-40,LOW
NABARD,N2,,-,-,"1,204.00",-0.08,500,"602,000.00",,-,LOW
NHIT,N1,Regular,7.9,300,311.16,-0.11,1865,"581,115.35",CARE AAA Stable / IND AAA/Stable,24-Oct-35,LOW
TATACAPHSG,NA,Regular,8.4,"1,000.00","1,034.00",-0.34,562,"580,102.02",CRISIL AAA STABLE / ICRA AAA STABLE,14-Jan-28,LOW
BRITANNIA,N3,,-,-,29.12,-0.34,19592,"570,127.20",,-,LOW
CREDITACC,N5,Regular,10,"1,000.00","1,047.50",1.01,512,"536,320.00",IRR AA-/Stable,23-Nov-27,HIGH
M&MFIN,N2,,-,-,"1,092.00",0.17,477,"521,322.84",,-,LOW
IRFC,NO,Regular,7.64,"1,000.00","1,160.51",-0.04,440,"509,476.00",CRISIL AAA STABLE / CARE AAA / ICRA AAA,22-Mar-31,LOW
NTPC,N6,Regular,8.91,"1,000.00","1,294.00",-1.67,381,"495,722.91",CRISIL AAA / ICRA AAA STABLE,16-Dec-33,HIGH
SHRIRAMFIN,YP,,-,-,"1,040.00",-1.61,467,"491,596.89",,-,HIGH
IIFL,NS,Regular,8.65,"1,000.00",983,-0.5,417,"411,875.07",CRISIL AA Stable / ICRA AA  Stable,24-Jan-28,LOW
INDIGRID,NJ,Regular,8.2,"1,000.00","1,057.50",-0.34,371,"392,020.86",IND AAA Stable / CRISIL AAA Stable,6-May-31,LOW
TATACAPHSG,N4,Regular,8.01,"1,000.00","1,009.10",-0.58,372,"375,876.24",CRISIL AAA STABLE / ICRA AAA STABLE,14-Jan-25,LOW
IRFC,N9,Regular,8.48,"1,000.00","1,090.21",-1.34,331,"365,258.50",CRISIL AAA STABLE / CARE AAA / ICRA AAA,18-Feb-24,HIGH
RECLTD,NI,,-,-,"1,159.05",0.35,277,"321,056.85",,-,LOW
IIHFL,NC,Regular,8.43,"1,000.00",957.95,0.83,321,"307,704.18",CRISIL AA Stable / BWR AA+  Negative,3-Jan-29,HIGH
SHRIRAMFIN,YU,,-,-,"1,465.00",-0.07,200,"293,116.00",,-,LOW
HUDCO,NE,,-,-,"1,308.00",0.08,210,"275,102.10",,-,LOW
IIFL,NH,Regular,8.25,"1,000.00","1,015.10",0.01,250,"253,775.00",CRISIL AA Stable/ BWR AA+ Negative,14-Oct-23,LOW
PFC,N6,,-,-,"1,040.00",-0.34,241,"250,640.00",,-,LOW
NAVIFIN,N1,Regular,9.2,"1,000.00",992.1,0.15,228,"226,166.88",IND A/ Stable,8-Dec-23,LOW
TATACAPHSG,NB,Regular,8.55,"1,000.00","1,075.00",3.86,200,"211,100.00",CRISIL AAA STABLE / ICRA AAA STABLE,14-Jan-30,HIGH
RHFL,N6,Regular,9.15,"1,000.00",403,0.5,431,"173,697.31",CARE AA+ STABLE / BWR AA+ STABLE,3-Jan-27,LOW
TCFSL,ND,Regular,8.9,"1,000.00","1,038.98",0.4,163,"169,149.99",CRISIL AAA STABLE / CARE AAA STABLE,27-Sep-23,LOW
IIFCL,N4,,-,-,"1,280.00",-0.34,131,"167,680.00",,-,LOW
ECLFINANCE,NG,Regular,9.25,"1,000.00",998,-0.1,150,"149,610.00",CRISIL AA STABLE / ICRA AA STABLE,6-Aug-23,LOW
NTPC,N7,Regular,8.49,12.5,13.59,-0.34,10989,"149,230.62",CRISIL AAA ,25-Mar-25,LOW
RECLTD,NF,Regular,8.88,"1,000.00","1,210.00",-0.82,100,"121,000.00",CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA ,24-Mar-29,HIGH
L&TFINANCE,NC,Regular,9.25,"1,000.00","1,096.00",-0.36,100,"109,740.00",CARE AAA STABLE / ICRA AAA STABLE / IND AAA STABLE,13-Mar-24,LOW
IIFL,ND,Regular,-,"1,000.00","1,360.00",-0.37,80,"108,800.00",CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE,6-Jun-25,LOW
SHRIRAMFIN,YR,,-,-,"1,026.06",-0.19,105,"107,842.35",,-,LOW
PCHFL,N6,Regular,8.5,"1,000.00","1,030.00",-0.48,100,"103,000.00",CARE AA / ICRA AA ,23-Jul-24,LOW
HUDCO,ND,,-,-,"1,185.00",-0.42,85,"100,725.00",,-,LOW
IIFL,NM,Regular,8.75,"1,000.00","1,000.00",0.61,100,"99,950.00",CRISIL AA Stable/ BWR AA+ Negative,14-Oct-26,MODERATE
IBULHSGFIN,NQ,Regular,8.66,"1,000.00",965,-0.52,100,"96,300.00",CRISIL AA Stable/ BWR AA+ Negative,24-Sep-24,LOW
IIFL,NL,Regular,8.42,"1,000.00",981,0.44,94,"92,094.62",CRISIL AA Stable/ BWR AA+ Negative,14-Oct-26,LOW
IFCI,NL,Regular,9.4,"1,000.00","1,007.00",-0.49,85,"85,595.00",ICRA A STABLE / BWR AA- STABLE,13-Feb-25,LOW
IIFL,NE,Regular,10,"1,000.00","1,075.00",-0.46,76,"81,863.40",CRISIL AA Negative / BWR AA+ Negative,24-Jun-28,LOW
IBUCCREDIT,ND,Regular,9.2,"1,000.00",989,8.44,82,"81,098.00",CRISIL AAA STABLE / CARE AAA STABLE,25-Sep-28,HIGH
IBULHSGFIN,NA,Regular,9,"1,000.00",945,-0.4,80,"75,432.80",CARE AAA / BWR AAA STABLE,26-Sep-26,LOW
NHAI,N4,Regular,8.52,"1,000.00","1,106.00",0.08,60,"66,360.00",CRISIL AAA STABLE / CARE AAA / BWR AAA STABLE ,5-Feb-24,LOW
NHAI,NA,Regular,7.6,"1,000.00","1,206.66",0.96,51,"61,539.66",CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA,11-Jan-31,HIGH
SHRIRAMFIN,YH,,-,-,999,-0.11,55,"55,000.55",,-,LOW
EHFLNCD,N6,Regular,10,"1,000.00","1,035.80",0.117883333,52,"53,861.60",CARE AA Stable / ICRA AA Stable / BWR AA+ stable,19-Jul-26,LOW
NHPC,N5,Regular,8.79,"1,000.00","1,260.00",-0.11,42,"52,920.00",CARE AAA / ICRA AAA / IND AAA (IND) ,2-Nov-28,LOW
TATACAPHSG,N6,Regular,8.3,"1,000.00","1,016.01",0.27,50,"50,800.50",CRISIL AAA STABLE / ICRA AAA STABLE,14-Jan-25,LOW
ECLFINANCE,NK,Regular,9.85,"1,000.00","1,008.00",-0.11,50,"50,400.00",CRISIL AA STABLE / ICRA AA STABLE,6-Aug-28,LOW
L&TFINANCE,NI,Regular,8.98,"1,000.00","1,172.99",0.78,40,"46,919.60",CARE AAA STABLE / ICRA AAA STABLE / IND AAA STABLE,13-Mar-29,MODERATE
SREIBNPNCD,Y7,Regular,8.65,"1,000.00",332,-5.14,136,"45,769.44",BWR AA+ Stable,16-Mar-23,HIGH
SREIBNPNCD,Y8,Regular,9,"1,000.00",355,16.39,135,"43,861.50",BWR AA+ Stable,16-Mar-23,HIGH
SHRIRAMFIN,YN,,-,-,"1,500.01",-0.66,27,"40,566.96",,-,MODERATE
