Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date,Risk
102652,ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option,,,11.7436,11.7436,11.7436,4/3/2006,MODERATE
102653,ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option,,,10.5045,10.5045,10.5045,4/3/2006,HIGH
102654,ABN AMRO  Monthly Income Plan-Regular Plan-Quarterly Dividend Option,,,10.449,10.449,10.449,4/3/2006,HIGH
102645,ABN AMRO  Short Term Income Fund-Institutional Plan-Daily Dividend Option,,,10,10,10,4/3/2006,HIGH
102644,ABN AMRO  Short Term Income Fund-Institutional Plan-Growth Option,,,10.858,10.858,10.858,4/3/2006,HIGH
102646,ABN AMRO  Short Term Income Fund-Institutional Plan-Monthly Dividend Option,,,10.0078,10.0078,10.0078,4/3/2006,MODERATE
102649,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Daily Dividend Option,,,0,0,0,4/3/2006,LOW
102648,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Growth Option,,,10.2871,10.2871,10.2871,4/3/2006,HIGH
102650,ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Monthly Dividend Option,,,0,0,0,4/3/2006,LOW
102641,ABN AMRO  Short Term Income Fund-Regular Plan-Growth Option,,,10.7797,10.7797,10.7797,4/3/2006,LOW
102642,ABN AMRO  Short Term Income Fund-Regular Plan-Monthly Dividend Option,,,10.0068,10.0068,10.0068,4/3/2006,HIGH
102643,ABN AMRO  Short Term Income Fund-Regular Plan-Weekly Dividend Option,,,10.0059,10.0059,10.0059,4/3/2006,HIGH
102622,ABN AMRO Flexi Debt Fund-Regular Plan-Daily Dividend Option,,,10.0001,10.0001,10.0001,4/3/2006,HIGH
102619,ABN AMRO Flexi Debt Fund-Regular Plan-Growth Option,,,10.6355,10.6355,10.6355,4/3/2006,LOW
102621,ABN AMRO Flexi Debt Fund-Regular Plan-Half-Yearly Dividend Option,,,10.0386,10.0386,10.0386,4/3/2006,LOW
102620,ABN AMRO Flexi Debt Fund-Regular Plan-Quarterly Dividend Option,,,10.0479,10.0479,10.0479,4/3/2006,HIGH
102623,ABN AMRO Flexi Debt Fund-Regular Plan-Weekly Dividend Option,,,10.0091,10.0091,10.0091,4/3/2006,LOW
100970,Aditya Birla Sun Life MIP - Regular Plan - Growth,INF209K01694,,17.985,17.8771,17.985,4/3/2006,HIGH
100971,Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend,INF209K01702,,11.0024,10.9364,11.0024,4/3/2006,HIGH
100972,Aditya Birla Sun Life MIP - Regular Plan - Monthly Payment,INF209K01710,,17.985,17.8771,17.985,4/3/2006,HIGH
101713,Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan,INF209K01728,,10.9419,10.9419,10.9419,4/3/2006,HIGH
101711,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan,INF209K01736,INF209K01DE3,10.0888,10.0888,10.0888,4/3/2006,MODERATE
101712,Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Growth /Payment,INF209K01744,,10.9419,10.9419,10.9419,4/3/2006,LOW
103184,Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan,INF209K01AX9,INF209K01DX3,10.6836,10.6195,10.6836,4/3/2006,HIGH
103185,Aditya Birla Sun Life Monthly Income - Growth - Regular Plan,INF209K01AZ4,,23.4993,23.3583,23.4993,4/3/2006,LOW
103186,Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan,INF209K01AY7,INF209K01DY1,10.9727,10.9069,10.9727,4/3/2006,LOW
